Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_2018	regulation of telomere maintenance via telomerase (GO:0032210)	1/11	0.005487639223035565	0.019950563482965037	0.012703626046847823	0.045854684298685895	-2.6132831827359224	13.602810919546632	HSP82
GO_Biological_Process_2018	cytoplasmic mRNA processing body assembly (GO:0033962)	1/7	0.0034952779131673523	0.019950563482965037	0.008483514809645607	0.045854684298685895	-2.3733623775777075	13.424550220986461	DHH1
GO_Biological_Process_2018	purine nucleobase biosynthetic process (GO:0009113)	1/8	0.003993704723571726	0.019950563482965037	0.009539892910163987	0.045854684298685895	-2.2042029609251395	12.173892253190106	MTD1
GO_Biological_Process_2018	box C/D snoRNP assembly (GO:0000492)	1/9	0.004491907152303811	0.019950563482965037	0.010595370432742945	0.045854684298685895	-2.222938633525286	12.01604568300083	HSP82
GO_Biological_Process_2018	stress granule assembly (GO:0034063)	1/12	0.005985169044889512	0.019950563482965037	0.013756405289605768	0.045854684298685895	-2.320716779722284	11.878520829821062	DHH1
GO_Biological_Process_2018	carboxylic acid biosynthetic process (GO:0046394)	1/6	0.002996626630900936	0.019950563482965037	0.007426235554947882	0.045854684298685895	-1.970924506618972	11.451599747628222	MTD1
GO_Biological_Process_2018	nucleobase biosynthetic process (GO:0046112)	1/8	0.003993704723571726	0.019950563482965037	0.009539892910163987	0.045854684298685895	-2.003993349225336	11.06812736488624	MTD1
GO_Biological_Process_2018	purine nucleobase metabolic process (GO:0006144)	1/13	0.006482474843696221	0.02025773388655069	0.014808286256722134	0.04627589455225667	-2.1097380263446515	10.630237669423954	MTD1
GO_Biological_Process_2018	cellular protein complex assembly (GO:0043623)	2/98	0.001042435993832085	0.019950563482965037	0.004296695910536845	0.045854684298685895	-1.521258275090855	10.445255966670699	HSP82;COX13
GO_Biological_Process_2018	positive regulation of translational fidelity (GO:0045903)	1/11	0.005487639223035565	0.019950563482965037	0.012703626046847823	0.045854684298685895	-1.9743285340966203	10.276887678994374	IMP3
GO_Biological_Process_2018	folic acid-containing compound biosynthetic process (GO:0009396)	1/12	0.005985169044889512	0.019950563482965037	0.013756405289605768	0.045854684298685895	-1.936357240781874	9.911187793176047	MTD1
GO_Biological_Process_2018	small nucleolar ribonucleoprotein complex assembly (GO:0000491)	1/11	0.005487639223035565	0.019950563482965037	0.012703626046847823	0.045854684298685895	-1.8648996987341016	9.70728245350016	HSP82
GO_Biological_Process_2018	regulation of organelle assembly (GO:1902115)	1/9	0.004491907152303811	0.019950563482965037	0.010595370432742945	0.045854684298685895	-1.7805712570239185	9.62483860038336	DHH1
GO_Biological_Process_2018	folic acid-containing compound metabolic process (GO:0006760)	1/10	0.004989885288620551	0.019950563482965037	0.011649947952890377	0.045854684298685895	-1.783393335793278	9.452595238208033	MTD1
GO_Biological_Process_2018	mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	1/18	0.008965646634045048	0.022414116585112623	0.020054237069790724	0.050135592674476814	-1.9914208548484076	9.388264955362665	COX13
GO_Biological_Process_2018	mitochondrion organization (GO:0007005)	2/120	0.001556790890707854	0.019950563482965037	0.006346437277984175	0.045854684298685895	-1.437572854641349	9.294093517780636	HSP82;COX13
GO_Biological_Process_2018	regulation of translational elongation (GO:0006448)	1/9	0.004491907152303811	0.019950563482965037	0.010595370432742945	0.045854684298685895	-1.7125191128995665	9.256984238462637	DHH1
GO_Biological_Process_2018	negative regulation of cellular amide metabolic process (GO:0034249)	1/23	0.011443231288742015	0.024876589758134806	0.02527781712728352	0.054951776363659825	-1.886193138984201	8.431956471347236	DHH1
